fen	bestmove	score_cp	multipv	suite	split	case_id	random_prefix	takeover_plies	final_ply	worker	attempt
2b1kabnr/r3a4/2n6/2p1p1p1p/C8/Pc2P4/2Pc2P1P/9/1C7/RNBAKABNR b	d3d4	17	1:d3d4:17;2:i9i7:5;3:h9g7:1;4:c6c5:-3	random_pikafish_takeover	seed	case-000080	19	2	21	3	14
1n1a1k2r/4a4/4b1n2/p1p1p1p1C/8R/6r2/P1P1P4/4B1N2/9/1N1AKAB2 b	g4g2	3412	1:g4g2:3412;2:g4g3:3091;3:g4b4:3078;4:g4g5:2922	random_pikafish_takeover	seed	case-000081	57	2	59	5	14
2b1ka1nr/4a4/4b4/6p1p/C1p1p4/6P1P/1rP1Pc3/3Ac1R1B/5N3/2BNKA3 b	b3b5	3754	1:b3b5:3754;2:e2i2:3739;3:b3a3:3586;4:f3c3:3440	random_pikafish_takeover	seed	case-000082	51	2	53	4	14
4ka1nr/2n1a4/4b3b/4p3p/p6c1/2P3p2/P3P1P1P/B3B1N2/4A1c2/1N1AK4 b	g4g3	9999	1:g4g3:9999;2:h5h0:5890;3:h9g7:5837;4:i9i8:5692	random_pikafish_takeover	seed	case-000083	67	2	69	1	15
7nr/1r3k3/3a1a2b/7P1/p1pR2p2/n5B2/P1Pp2P1N/N8/9/3K1AR2 b	a4c3	2059	1:a4c3:2059;2:b8b2:1327;3:i7g9:848;4:d7e8:-1	random_pikafish_takeover	seed	case-000084	81	2	83	2	15
rnbak2n1/9/3ab4/pCp1pc2p/6p2/6P2/P1P1P3P/1R3A2B/R3K4/1NBA3r1 b	h0h1	3892	1:h0h1:3892;2:g5g4:3677;3:d7e8:3653;4:a9a8:3564	random_pikafish_takeover	seed	case-000085	43	2	45	0	16
1r1a1ab2/9/b3k3n/2p2cp1p/p3p4/2P5P/P3P1Pr1/1C2BA2N/R8/1N1AK4 w	b0d1	-3582	1:b0d1:-3582;2:a1a2:-3820;3:a1b1:-3917;4:b2d2:-4113	random_pikafish_takeover	seed	case-000086	38	2	40	3	15
r2a1a3/3nk4/b2r1cn1b/p1p1p3p/5c3/2B1P1B2/P1P1N1P1P/R6C1/2C1A3R/3AK2N1 b	f5b5	-51	1:f5b5:-51;2:e8e9:-103;3:f7e7:-179;4:f5a5:-194	random_pikafish_takeover	seed	case-000087	37	2	39	5	15
3a1k3/3nan2r/C8/6p1p/2p1pc3/p1P3RcP/1r7/8N/4A4/1NBAK1BC1 b	h4c4	3383	1:h4c4:3383;2:h4h6:3161;3:i8i7:2989;4:h4h3:3139	random_pikafish_takeover	seed	case-000088	81	2	83	4	15
r3ka3/3n4r/3a3Pb/p1p1p4/2b5p/2P6/P3P3P/B5c1N/4C4/RN1AKAB1R w	i2g3	3396	1:i2g3:3396;2:b0c2:3228;3:b0d1:3135;4:i0h0:3063	random_pikafish_takeover	seed	case-000089	52	2	54	1	16
1nra1ab1r/3k5/b5n2/p1p1pc3/6p1p/PcP1P4/6P2/1R1C1KN1B/3N3C1/3A1AB2 b	i9h9	4006	1:i9h9:4006;2:d8e8:3995;3:g7f5:3826;4:b9c7:3759	random_pikafish_takeover	seed	case-000090	53	2	55	2	16
4kab1r/1r7/3ab1n2/2p1p1p1p/p8/2C5P/P1P1P1Pc1/3C2c2/9/RN1AKAB1R w	i0i2	-1139	1:i0i2:-1139;2:b0d1:-2075;3:c4g4:-2323;4:d2d6:-2358	random_pikafish_takeover	seed	case-000091	34	2	36	0	17
2bak3r/4an3/1n2b4/4p1p2/p7p/1p4B1c/P1P3P2/B1N3N2/4K2c1/1R1A1A1R1 b	i9h9	1292	1:i9h9:1292;2:h1h7:944;3:h1h9:430;4:h1g1:140	random_pikafish_takeover	seed	case-000092	65	2	67	5	16
2baka3/n8/9/1cp4P1/2brP4/p4p3/cNP3P2/4B2N1/4A4/2B1KC2C b	d5e5	3930	1:d5e5:3930;2:d5d8:3388;3:d5d7:3370;4:d5d3:3305	random_pikafish_takeover	seed	case-000093	85	2	87	3	16
r1bakabnr/5C3/9/p3C1p1p/1cp6/P8/2P1P1P1P/5c3/R8/1NBAKAB1R b	f2f5	-2010	1:f2f5:-2010;2:a9b9:-2491;3:f2f7:-2605;4:h9g7:-2651	random_pikafish_takeover	seed	case-000094	15	2	17	4	16
rnbak1b2/4a3n/9/pRp2rp1p/4p4/6P2/P1P1P3P/R4CN1C/3K5/1NBA1cB2 b	f0c0	-2167	1:f0c0:-2167;2:f6d6:-2430;3:f0e0:-2507;4:f0f1:-2644	random_pikafish_takeover	seed	case-000095	35	2	37	1	17
5ab2/1r1k2r2/b2c5/2p6/C3p4/P1P3P1P/6c2/B3B2C1/4A1N1R/R2AK4 b	g3e3	-2145	1:g3e3:-2145;2:e5e4:-2240;3:b8b3:-2329;4:g8h8:-2344	random_pikafish_takeover	seed	case-000096	73	2	75	2	17
1n1akabnr/9/4bC3/p1p1p3p/3r5/P5p2/2P1Pc2R/N6R1/1C2A4/2B1KABN1 b	f3f6	-3360	1:f3f6:-3360;2:f3g3:-3398;3:d9e8:-3368;4:f3f5:-3386	random_pikafish_takeover	seed	case-000097	33	2	35	0	18
r3kr2n/4a4/b2abn3/p1p1p4/5P3/1CP5p/P5p2/3AR4/5C3/1NBcK1BN1 b	d0b0	4442	1:d0b0:4442;2:f9h9:3418;3:d0g0:3253;4:c6c5:3013	random_pikafish_takeover	seed	case-000098	67	2	69	3	17
3akr3/3n3c1/5aC1b/p1p5p/P1brpc1P1/2P1P4/8P/4BR2R/1C2A4/2BAK2N1 b	e5e4	-58	1:e5e4:-58;2:h8f8:-1825;3:f9g9:-1895;4:f7e8:-2215	random_pikafish_takeover	seed	case-000099	61	2	63	5	17
